CUSIP,Security Name,Mtge Orig Amt,Cpn,Mtge Factor,Current WAL,Issue Date,Original WAL,Issuer,Mortgage Loan Margin
8316A0LY4,SBA 530342,12567385.97,5.625,0.993921954,9.8334,3/1/2023,,"BREAN CAPITAL, LLC",-2.375
8316A0L73,SBA 530349,6302134.89,5.575,0.996978546,16.0204,3/1/2023,,"RAYMOND JAMES BANK, N.A.",-2.425
8316A0L24,SBA 530344,9232569.37,5.625,0.991765882,7.7933,3/1/2023,,"BREAN CAPITAL, LLC",-2.375
8316A8DE0,SBA 540100,40192415.22,8.515,0.998005615,16.9015,3/1/2023,,"STIFEL NICOLAUS & COMPANY, INC",0.515
8316A0L32,SBA 530345,65982539.59,5.5,0.996794747,15.4993,3/1/2023,,"BREAN CAPITAL, LLC",-2.5
8316A0LV0,SBA 530339,92551974.19,7.325,0.997619912,16.4575,3/1/2023,,"RAYMOND JAMES BANK, N.A.",-0.675
8316A0LU2,SBA 530338,32072413.38,7.325,0.997534188,16.132,3/1/2023,,FHN FINANCIAL CAPITAL MARKETS,-0.675
8316A0LZ1,SBA 530343,18585846,5.375,0.97304552,4.8419,3/1/2023,,"BREAN CAPITAL, LLC",-2.625
8316A0L40,SBA 530346,88738962.92,5.4,0.987195177,5.4787,3/1/2023,,"BREAN CAPITAL, LLC",-2.6
8316A0LT5,SBA 530337,3287850.67,5.5,0.98684341,5.3387,3/1/2023,,"RAYMOND JAMES BANK, N.A.",-2.5
8316A0L57,SBA 530347,2951920.79,5.65,0.985711846,4.9568,3/1/2023,,TRUIST BANK,-2.35
8316A0LW8,SBA 530340,41659655.12,8.325,0.98946358,5.867,3/1/2023,,"RAYMOND JAMES BANK, N.A.",0.325
8316A0K90,SBA 530319,50039309.03,6.25,0.995534844,15.5354,2/1/2023,,SIGNATURE BANK,-1.75
8316A0LB4,SBA 530321,49968902.43,5.85,0.981624959,15.2958,2/1/2023,,SIGNATURE BANK,-2.15
8316A0LJ7,SBA 530328,22374825.38,5.6,0.994896135,14.883,2/1/2023,,"BREAN CAPITAL, LLC",-2.4
8316A0LR9,SBA 530335,1126732.73,5.6,0.97911071,5.0513,2/1/2023,,CANTOR FITZGERALD & CO.,-2.4
8316A0LS7,SBA 530336,25807153.91,5.6,0.990302443,15.2439,2/1/2023,,CANTOR FITZGERALD & CO.,-2.4
8316A0LF5,SBA 530325,50163101.84,6.25,0.967447252,15.5354,2/1/2023,,SIGNATURE BANK,-1.75
8316A8DA8,SBA 540096,34373056.82,9.298,0.985103282,5.9456,2/1/2023,,BMO CAPITAL MARKETS CORP.,1.298
8316A0LN8,SBA 530332,144307827.1,5.5,0.979296185,5.3879,2/1/2023,,"BREAN CAPITAL, LLC",-2.5
8316A0LD0,SBA 530323,51890827.77,8.325,0.99679398,16.4852,2/1/2023,,FHN FINANCIAL CAPITAL MARKETS,0.325
8316A0LK4,SBA 530329,13292043.52,5.7,0.964773998,4.5222,2/1/2023,,CANTOR FITZGERALD & CO.,-2.3
8316A0LA6,SBA 530320,61686993.46,7.075,0.996300722,16.4757,2/1/2023,,BMO CAPITAL MARKETS CORP.,-0.925
8316A0LP3,SBA 530333,45109436.23,6.25,0.981519335,5.4953,2/1/2023,,SIGNATURE BANK,-1.75
8316A0LE8,SBA 530324,34553220.39,7.575,0.99643845,16.3044,2/1/2023,,FHN FINANCIAL CAPITAL MARKETS,-0.425
8316A8C92,SBA 540095,41529221.15,9.324,0.981119235,6.0023,2/1/2023,,"RAYMOND JAMES BANK, N.A.",1.324
8316A8DB6,SBA 540097,31508335.54,9.418,0.980822873,5.6828,2/1/2023,,"STIFEL NICOLAUS & COMPANY, INC",1.418
8316A0LH1,SBA 530327,10962023.53,5.375,0.987199592,7.6522,2/1/2023,,"BREAN CAPITAL, LLC",-2.625
8316A0K82,SBA 530318,20053393.71,5.85,0.913900424,15.174,2/1/2023,,SIGNATURE BANK,-2.15
8316A0LM0,SBA 530331,69479324.64,7.575,0.992412124,16.3044,2/1/2023,,"RAYMOND JAMES BANK, N.A.",-0.425
8316A0LC2,SBA 530322,54723801.02,5.85,0.96585866,15.4789,2/1/2023,,SIGNATURE BANK,-2.15
8316A0K74,SBA 530317,15098665.04,5.8,0.981071549,5.4605,2/1/2023,,"RAYMOND JAMES BANK, N.A.",-2.2
8316A0LL2,SBA 530330,51475132.96,6.4,0.995801143,15.9777,2/1/2023,,"BREAN CAPITAL, LLC",-1.6
8316A0LG3,SBA 530326,26953811.59,5.65,0.976784189,5.5481,2/1/2023,,TRUIST BANK,-2.35
8316A8DC4,SBA 540098,45065719.33,7.731,0.996441242,16.2391,2/1/2023,,"STIFEL NICOLAUS & COMPANY, INC",-0.269
8316A0LQ1,SBA 530334,65552772.28,5.6,0.995136299,15.3646,2/1/2023,,"BREAN CAPITAL, LLC",-2.4
8316A0K66,SBA 530316,30017595.02,8.135,0.976904838,5.64,1/1/2023,,"STIFEL NICOLAUS & COMPANY, INC",0.135
8316A0KH2,SBA 530295,12079364.3,5.85,0.942224258,5.3153,1/1/2023,,SIGNATURE BANK,-2.15
8316A0KM1,SBA 530299,21132694.52,5.85,0.973873988,5.2657,1/1/2023,,SIGNATURE BANK,-2.15
8316A0KL3,SBA 530298,32544071.38,5.85,0.959013241,5.3649,1/1/2023,,SIGNATURE BANK,-2.15
8316A0KY5,SBA 530310,3257033.7,5.9,0.971128546,4.8258,1/1/2023,,SIGNATURE BANK,-2.1
8316A8C43,SBA 540090,15815127.53,10.611,0.964136429,5.6041,1/1/2023,,SIGNATURE BANK,2.611
8316A0KS8,SBA 530304,70563866.21,7.075,0.994813181,16.024,1/1/2023,,"RAYMOND JAMES BANK, N.A.",-0.925
8316A8C84,SBA 540094,60718382.52,7.62,0.995170894,16.1268,1/1/2023,,"STIFEL NICOLAUS & COMPANY, INC",-0.38
8316A0KT6,SBA 530305,7461550.59,5.78,0.985316568,8.4541,1/1/2023,,"RAYMOND JAMES BANK, N.A.",-2.22
8316A0K41,SBA 530314,67074726.4,7.325,0.975907094,16.0022,1/1/2023,,TRUIST BANK,-0.675
8316A8C68,SBA 540092,21570108.36,9.467,0.949799203,5.5781,1/1/2023,,SIGNATURE BANK,1.467
8316A0KR0,SBA 530303,107767684.8,5.6,0.953808461,5.3462,1/1/2023,,"BREAN CAPITAL, LLC",-2.4
8316A0KN9,SBA 530300,55279068.01,5.85,0.93183497,5.1668,1/1/2023,,SIGNATURE BANK,-2.15
8316A8C76,SBA 540093,29433082.77,9.451,0.980201407,5.9031,1/1/2023,,"RAYMOND JAMES BANK, N.A.",1.451
8316A0KQ2,SBA 530302,18621846.52,5.625,0.974953833,5.4965,1/1/2023,,"RAYMOND JAMES BANK, N.A.",-2.375
8316A0K33,SBA 530313,31714077.45,5.65,0.993470426,15.2665,1/1/2023,,TRUIST BANK,-2.35
8316A0K58,SBA 530315,11066452.94,5.6,0.972951119,5.1493,1/1/2023,,"STIFEL NICOLAUS & COMPANY, INC",-2.4
8316A0KZ2,SBA 530311,3033341.1,5.45,0.974718893,5.4827,1/1/2023,,"BREAN CAPITAL, LLC",-2.55
8316A0KJ8,SBA 530296,34396321.95,7.325,0.995047476,16.197,1/1/2023,,FHN FINANCIAL CAPITAL MARKETS,-0.675
8316A0KV1,SBA 530307,113076270.5,6,0.993954859,15.6702,1/1/2023,,"BREAN CAPITAL, LLC",-2
8316A0K25,SBA 530312,46662319.73,5.65,0.972856609,5.5978,1/1/2023,,FHN FINANCIAL CAPITAL MARKETS,-2.35
8316A0KU3,SBA 530306,53334506.45,6.4,0.97249133,5.406,1/1/2023,,BMO CAPITAL MARKETS CORP.,-1.6
8316A0KW9,SBA 530308,30559548.56,5.6,0.968472681,5.3462,1/1/2023,,CANTOR FITZGERALD & CO.,-2.4
8316A0KX7,SBA 530309,2458909.65,5.75,0.87315855,3.4767,1/1/2023,,CANTOR FITZGERALD & CO.,-2.25
8316A8C50,SBA 540091,3725349.11,11.499,0.98092099,5.7221,1/1/2023,,STONEWALL INVESTMENTS TENNESSE,3.499
8316A0KP4,SBA 530301,22165423.14,5.65,0.924406813,5.5481,1/1/2023,,TRUIST BANK,-2.35
8316A0KK5,SBA 530297,22260897.99,5.65,0.966783404,5.3994,1/1/2023,,TRUIST BANK,-2.35
8316A0J84,SBA 530286,36638026.53,5.625,0.969127738,5.5958,12/1/2022,,"RAYMOND JAMES BANK, N.A.",-2.375
8316A0JU5,SBA 530274,50215885.02,5.7,0.991523007,15.2286,12/1/2022,,"RAYMOND JAMES BANK, N.A.",-2.3
8316A0JX9,SBA 530277,58630217.19,5.6,0.944231233,15.1836,12/1/2022,,TRUIST BANK,-2.4
8316A0J27,SBA 530280,15649251.74,5.6,0.952072899,8.9587,12/1/2022,,TRUIST BANK,-2.4
